"Generation","N_breeders","Mean_P_soft","Var_P_soft","Mean_P_hard","Var_P_hard","Mean_G_soft","Var_G_soft","Mean_G_hard","Var_G_hard","Gen_cor","Allele_freq","N_recruits","Mean_S","RpS","replicate","Comp"
63,128,11.7093955778076,71.415888810301,-21.3577942023263,74.131572120561,12.109375,15.0745570866142,-21.671875,36.9938484251969,0.14684620111103,0.73943661971831,71,0.27734375,0.5546875,1,"intruders competitively superior"
64,96,12.0759192283946,64.2567725508483,-22.2463370866129,63.4271652499813,12.3958333333333,14.4521929824561,-23.3229166666667,36.4525219298246,0.063871321660545,0.795918367346939,49,0.255208333333333,0.510416666666667,1,"intruders competitively superior"
65,74,12.1558908559266,60.8642199833821,-25.5962530880108,82.8630353156727,12.3108108108108,12.2445390596076,-25.0675675675676,42.5296186597556,0.0801709907676241,0.883720930232558,43,0.290540540540541,0.581081081081081,1,"intruders competitively superior"
66,68,13.2197768200015,56.5274580980651,-27.9943052683631,68.9259794968177,12.3529411764706,13.0079016681299,-26.8676470588235,28.773266022827,0.0878130460444165,1,41,0.301470588235294,0.602941176470588,1,"intruders competitively superior"
67,66,12.5475185135451,59.1535129226564,-27.1679258686545,66.2213942470886,12.6818181818182,12.5895104895105,-26.8333333333333,25.0025641025641,-0.081077725635722,1,30,0.227272727272727,0.454545454545455,1,"intruders competitively superior"
68,55,12.2015430891437,59.4464166717781,-26.9093235296539,60.3403771133841,12.4181818181818,9.32188552188552,-27.8545454545455,15.6451178451178,0.0562073068111592,1,31,0.281818181818182,0.563636363636364,1,"intruders competitively superior"
69,56,12.1641012772907,53.9078795326089,-28.1557154248578,54.9999691574547,11.9821428571429,10.3814935064935,-28.1785714285714,14.4402597402597,0.15862742388821,1,34,0.303571428571429,0.607142857142857,1,"intruders competitively superior"
70,59,11.6029711718189,53.5644874253371,-29.8353205771435,49.7318669533325,11.3050847457627,12.801870251315,-28.2033898305085,16.7165400350672,0.176388712960289,1,23,0.194915254237288,0.389830508474576,1,"intruders competitively superior"
71,48,12.9143315845568,53.0712442756085,-27.8964995446513,47.7077645816339,11.4375,7.91090425531915,-29.1666666666667,16.4397163120567,-0.056903864003838,1,17,0.177083333333333,0.354166666666667,1,"intruders competitively superior"
72,42,9.3110981262672,51.2999982820376,-27.6654721776681,40.456937220537,11.4047619047619,18.1980255516841,-28.5952380952381,9.85656213704994,0.277028769968633,1,9,0.107142857142857,0.214285714285714,1,"intruders competitively superior"
